tweet_id,tweet_text,multi_label,binary_label,POS_tagging,cleanTweetTXT,tweet_length,Determiners_Count,Verbs_Count,Pronouns_Count,NominalVerbal_Count,URLs_Count,Noun_Count,Adverb_Count,Adjective_Count,Unknown_count,Interjection_count,PrePost_count
'501222299685888000',RT @lilid426: Everyone has all these intense relationship goals when my goal is just getting in a relationship and having someone put up wi…,non_damage,non_damage,"['RT', '~', '@lilid426', '@', ':', '~', 'Everyone', 'N', 'has', 'V', 'all', 'X', 'these', 'D', 'intense', 'A', 'relationship', 'N', 'goals', 'N', 'when', 'R', 'my', 'D', 'goal', 'N', 'is', 'V', 'just', 'R', 'getting', 'V', 'in', 'P', 'a', 'D', 'relationship', 'N', 'and', '&', 'having', 'V', 'someone', 'N', 'put', 'V', 'up', 'T', 'wi', '^', '…', ',']",everyone intense relationship goals goal getting relationship someone put,25,3,5,0,0,0,6,2,1,0,0,1
'501203294409457664',@kkfred12 @StayDvpper oh yea I would like to that damn K and shove it up their ass sideways just don't ever text back,non_damage,non_damage,"['@kkfred12', '@', '@StayDvpper', '@', 'oh', '!', 'yea', '!', 'I', 'O', 'would', 'V', 'like', 'V', 'to', 'P', 'that', 'D', 'damn', '!', 'K', '^', 'and', '&', 'shove', 'V', 'it', 'O', 'up', 'T', 'their', 'D', 'ass', 'N', 'sideways', 'R', 'just', 'R', ""don't"", 'V', 'ever', 'R', 'text', 'V', 'back', 'R']",yea would like damn shove ass sideways ever text back,23,2,5,2,0,0,1,4,0,0,3,1
'501157833996767233',"RT @fruitpopniall: ""1D are about to split up""  #1DToLiveOnForever http://t.co/4nHQIq03Io",non_damage,non_damage,"['RT', '~', '@fruitpopniall', '@', ':', '~', '""', ',', '1D', '^', 'are', 'V', 'about', 'P', 'to', 'P', 'split', 'V', 'up', 'T', '""', ',', '#1DToLiveOnForever', '#', 'http://t.co/4nHQIq03Io', 'U']",split,11,0,2,0,0,1,0,0,0,0,0,2
'501136832957259776',"@Harry_Styles   You are my ☀   You 💡 up my whole day  You are my entire 🌎  So please follow me, I ❤ you so much  x1",non_damage,non_damage,"['@Harry_Styles', '@', 'You', 'O', 'are', 'V', 'my', 'D', '☀', ',', 'You', 'O', '💡', 'V', 'up', 'T', 'my', 'D', 'whole', 'A', 'day', 'N', 'You', 'O', 'are', 'V', 'my', 'D', 'entire', 'A', '🌎', ',', 'So', 'R', 'please', 'V', 'follow', 'V', 'me', 'O', ',', ',', 'I', 'O', '❤', 'V', 'you', 'O', 'so', 'R', 'much', 'A', 'x1', 'G']",whole day entire please follow much,24,3,6,6,0,0,1,2,3,1,0,0
'501049468511596544',"RT @abonetti420: Swinging blunts round, sun up till sun down",non_damage,non_damage,"['RT', '~', '@abonetti420', '@', ':', '~', 'Swinging', 'V', 'blunts', 'N', 'round', 'N', ',', ',', 'sun', 'V', 'up', 'T', 'till', 'P', 'sun', 'N', 'down', 'P']",swinging blunts round sun till sun,11,0,2,0,0,0,3,0,0,0,0,2
'501187710657523712',RT @AbdulWaveey: Currently turning up the brightness on my Tv for the nigeria and ghana matches,non_damage,non_damage,"['RT', '~', '@AbdulWaveey', '@', ':', '~', 'Currently', 'R', 'turning', 'V', 'up', 'T', 'the', 'D', 'brightness', 'N', 'on', 'P', 'my', 'D', 'Tv', 'N', 'for', 'P', 'the', 'D', 'nigeria', '^', 'and', '&', 'ghana', '^', 'matches', 'V']",currently turning brightness nigeria ghana matches,17,3,2,0,0,0,2,1,0,0,0,2
'501385992108912640',RT @indykaila: Breaking news coming at 4:30pm for Liverpool. We have exciting update from France coming up. This is very exciting. Great so…,non_damage,non_damage,"['RT', '~', '@indykaila', '@', ':', '~', 'Breaking', 'V', 'news', 'N', 'coming', 'V', 'at', 'P', '4:30', '$', 'pm', 'N', 'for', 'P', 'Liverpool', '^', '.', ',', 'We', 'O', 'have', 'V', 'exciting', 'A', 'update', 'N', 'from', 'P', 'France', '^', 'coming', 'V', 'up', 'T', '.', ',', 'This', 'O', 'is', 'V', 'very', 'R', 'exciting', 'A', '.', ',', 'Great', 'A', 'so', 'P', '…', ',']",breaking news coming liverpool exciting update france coming exciting great,25,0,5,2,0,0,3,1,3,0,0,4
'501231024173367296',RT @lanafttluke: alright goodnight so i can wake up and go go to hell.,non_damage,non_damage,"['RT', '~', '@lanafttluke', '@', ':', '~', 'alright', '!', 'goodnight', '!', 'so', 'R', 'i', 'O', 'can', 'V', 'wake', 'V', 'up', 'T', 'and', '&', 'go', 'V', 'go', 'V', 'to', 'P', 'hell', 'N', '.', ',']",alright goodnight wake hell,15,0,4,1,0,0,1,1,0,0,2,1
'501164341505183744',RT @TrueBloodHBO: 2 episodes left. Drink up and watch a new episode of #TrueBlood tonight at 9PM. #TrueToTheEnd http://t.co/atXZWKEAfW,non_damage,non_damage,"['RT', '~', '@TrueBloodHBO', '@', ':', '~', '2', '$', 'episodes', 'N', 'left', 'V', '.', ',', 'Drink', 'V', 'up', 'T', 'and', '&', 'watch', 'V', 'a', 'D', 'new', 'A', 'episode', 'N', 'of', 'P', '#TrueBlood', '^', 'tonight', 'R', 'at', 'P', '9PM', '$', '.', ',', '#TrueToTheEnd', '#', 'http://t.co/atXZWKEAfW', 'U']",episodes left drink watch new episode trueblood tonight,20,1,3,0,0,1,2,1,1,0,0,2
'501144319500115969',Drive home from cr is always quicker then the way up I swear,non_damage,non_damage,"['Drive', 'V', 'home', 'N', 'from', 'P', 'cr', 'N', 'is', 'V', 'always', 'R', 'quicker', 'A', 'then', 'R', 'the', 'D', 'way', 'N', 'up', 'P', 'I', 'O', 'swear', 'V']",drive home always quicker way swear,13,1,3,1,0,0,3,2,1,0,0,2
