tweet_id,tweet_text,multi_label,binary_label,POS_tagging,cleanTweetTXT,human_nounCount,human_verbCount,human_adverbCount,human_adjectiveCount,infra_nounCount,infra_verbCount,infra_adverbCount,infra_adjectiveCount
'383600460340666369',RT @Faiz_Baluch: #BalochistanEarthQuake Pakistan army is terrorizing the people by aerial firing in #Awaran https://t.co/R3R5ph8zSS http://…,non_damage,non_damage,"['RT', '~', '@Faiz_Baluch', '@', ':', '~', '#BalochistanEarthQuake', '#', 'Pakistan', '^', 'army', 'N', 'is', 'V', 'terrorizing', 'V', 'the', 'D', 'people', 'N', 'by', 'P', 'aerial', 'A', 'firing', 'V', 'in', 'P', '#Awaran', '^', 'https://t.co/R3R5ph8zSS', 'U', 'http://…', 'U']",pakistan army terrorizing people aerial firing awaran,2,0,0,0,0,0,0,0
'383790723222364161',#Earthquake 2013-09-28 02:39:43 (M5.0) EAST OF THE SOUTH SANDWICH ISLANDS -59.5 -19.1 (70fa9) http://t.co/uBN98fFmNj notice,non_damage,non_damage,"['#Earthquake', '^', '2013-09-28', '$', '02:39:43', '$', '(', ',', 'M', '$', '5.0', '$', ')', ',', 'EAST', '^', 'OF', 'P', 'THE', 'D', 'SOUTH', '^', 'SANDWICH', '^', 'ISLANDS', '^', '-', ',', '59.5', '$', '-', ',', '19.1', '$', '(', ',', '70fa9', '$', ')', ',', 'http://t.co/uBN98fFmNj', 'U', 'notice', 'N']",earthquake east south sandwich islands notice,0,0,0,0,0,0,0,0
'384232048124518400',#earthquake M2.2: Puerto Rico region http://t.co/f2OBUZAF7x,non_damage,non_damage,"['#earthquake', '^', 'M', '^', '2.2', '^', ':', ',', 'Puerto', '^', 'Rico', '^', 'region', 'N', 'http://t.co/f2OBUZAF7x', 'U']",earthquake puerto rico region,0,0,0,0,0,0,0,0
'384860484643475456',#PAKISTAN: #NASA releases images of Pakistan's '#Earthquake #Island'  | http://t.co/wBKdQFT7Fu | c #SCIENCE | RT |``,non_damage,non_damage,"['#PAKISTAN', '#', ':', ',', '#NASA', '#', 'releases', 'N', 'images', 'N', 'of', 'P', ""Pakistan's"", 'Z', ""'"", ',', '#Earthquake', '^', '#Island', '#', ""'"", ',', '|', 'G', 'http://t.co/wBKdQFT7Fu', 'U', '|', 'G', 'c', 'G', '#SCIENCE', '#', '|', 'G', 'RT', '~', '|``', 'G']",releases images pakistan earthquake,0,0,0,0,0,0,0,0
'383407962619772928',"【#USGS #alert】 M 1.5, Central Alaska: September 27, 2013 01:43:53 GMT http://t.co/Lxne9Dghfx #earthquake #tsunami #prayfromjapan",non_damage,non_damage,"['【', 'G', '#USGS', '#', '#alert', '#', '】', '#', 'M', '$', '1.5', '$', ',', ',', 'Central', '^', 'Alaska', '^', ':', ',', 'September', '^', '27', '$', ',', ',', '2013', '$', '01:43:53', '$', 'GMT', 'N', 'http://t.co/Lxne9Dghfx', 'U', '#earthquake', '#', '#tsunami', '#', '#prayfromjapan', '#']",central alaska september gmt,0,0,0,0,0,0,0,0
'384275270082887680',RT @AQpk: RT @313syiSitak: #YFK volunteers share their views on #Kashmir with Farah in her live Morning Show on #ATV http://t.co/alLPKCLeDy…,non_damage,non_damage,"['RT', '~', '@AQpk', '@', ':', '~', 'RT', '~', '@313syiSitak', '@', ':', '~', '#YFK', '#', 'volunteers', 'N', 'share', 'V', 'their', 'D', 'views', 'N', 'on', 'P', '#Kashmir', '^', 'with', 'P', 'Farah', '^', 'in', 'P', 'her', 'O', 'live', 'V', 'Morning', 'N', 'Show', 'N', 'on', 'P', '#ATV', '^', 'http://t.co/alLPKCLeDy', 'U', '…', ',']",volunteers share views kashmir farah live morning show atv,0,0,0,0,0,0,0,0
'382846453221036032',"@HamidMirGEO: It is ridiculous, rubbish. Now you're doing the same using #EarthQuake for ur own filthy purposes. Pardon me fr my language.",non_damage,non_damage,"['@HamidMirGEO', '@', ':', '~', 'It', 'O', 'is', 'V', 'ridiculous', 'A', ',', ',', 'rubbish', 'A', '.', ',', 'Now', 'R', ""you're"", 'L', 'doing', 'V', 'the', 'D', 'same', 'A', 'using', 'V', '#EarthQuake', '^', 'for', 'P', 'ur', 'D', 'own', 'A', 'filthy', 'A', 'purposes', 'N', '.', ',', 'Pardon', 'V', 'me', 'O', 'fr', 'P', 'my', 'D', 'language', 'N', '.', ',']",ridiculous rubbish using earthquake filthy purposes pardon language,0,0,0,0,0,0,0,0
'384223701144576001',@mosharrafzaidi #Pakistan #Peshawar A Message For Terrorists &amp; Their Supporters/Sympathizers http://t.co/DakrfWGG6E,non_damage,non_damage,"['@mosharrafzaidi', '@', '#Pakistan', '#', '#Peshawar', '#', 'A', 'D', 'Message', 'N', 'For', 'P', 'Terrorists', 'N', '&', '&', 'Their', 'D', 'Supporters/Sympathizers', 'N', 'http://t.co/DakrfWGG6E', 'U']",message terrorists supporters sympathizers,0,0,0,0,0,0,0,0
'383596911598768128',RT @CNBCPAKISTAN: Minister of State Sheikh Aftab: 9 soldiers and 4 civilians killed due to firing by Indian forces at #LoC #Pakistan,human_damage,damage,"['RT', '~', '@CNBCPAKISTAN', '@', ':', '~', 'Minister', 'N', 'of', 'P', 'State', '^', 'Sheikh', '^', 'Aftab', '^', ':', ',', '9', '$', 'soldiers', 'N', 'and', '&', '4', '$', 'civilians', 'N', 'killed', 'V', 'due', 'A', 'to', 'P', 'firing', 'V', 'by', 'P', 'Indian', '^', 'forces', 'N', 'at', 'P', '#LoC', '^', '#Pakistan', '#']",minister state sheikh aftab soldiers civilians killed due firing indian forces loc,1,1,0,0,0,0,0,0
'384041956038303744',RT @kkfpk: Pic-9 #KKF send relief goods for #Balochistan Earthquake Victims #ReliefByKKF #MQM #Pakistan http://t.co/0lVb1lsY95,non_damage,non_damage,"['RT', '~', '@kkfpk', '@', ':', '~', 'Pic-9', 'N', '#KKF', 'N', 'send', 'V', 'relief', 'N', 'goods', 'N', 'for', 'P', '#Balochistan', '^', 'Earthquake', '^', 'Victims', 'N', '#ReliefByKKF', '#', '#MQM', '#', '#Pakistan', '#', 'http://t.co/0lVb1lsY95', 'U']",pic kkf send relief goods balochistan earthquake victims,1,0,0,0,0,0,0,0
'384607507382935552',RT @AnasMallick: Day 7th and some parts of Balochistan hit by #EarthQuake are YET to receive relief aid. #Pakistan,non_damage,non_damage,"['RT', '~', '@AnasMallick', '@', ':', '~', 'Day', 'N', '7th', 'A', 'and', '&', 'some', 'D', 'parts', 'N', 'of', 'P', 'Balochistan', '^', 'hit', 'V', 'by', 'P', '#EarthQuake', '^', 'are', 'V', 'YET', 'R', 'to', 'P', 'receive', 'V', 'relief', 'N', 'aid', 'N', '.', ',', '#Pakistan', '#']",day parts balochistan hit earthquake yet receive relief aid,0,0,0,0,0,0,0,0
'383904420523544576',RT @Emirates247: Breaking News: Powerful 6.8 #earthquake rocks #Pakistan again; Tremors in UAE? http://t.co/X08hupMdzc,non_damage,non_damage,"['RT', '~', '@Emirates247', '@', ':', '~', 'Breaking', 'V', 'News', 'N', ':', ',', 'Powerful', 'A', '6.8', '$', '#earthquake', 'N', 'rocks', 'V', '#Pakistan', '#', 'again', 'R', ';', ',', 'Tremors', 'N', 'in', 'P', 'UAE', '^', '?', ',', 'http://t.co/X08hupMdzc', 'U']",breaking news powerful earthquake rocks tremors uae,0,0,0,0,0,1,0,0
'383984866217295872',what does attack on #earthquake relief means? terrorist org dnt want to let anyone do good to #Balochistan,non_damage,non_damage,"['what', 'O', 'does', 'V', 'attack', 'V', 'on', 'P', '#earthquake', '^', 'relief', 'N', 'means', 'V', '?', ',', 'terrorist', 'A', 'org', 'N', 'dnt', 'V', 'want', 'V', 'to', 'P', 'let', 'V', 'anyone', 'N', 'do', 'V', 'good', 'A', 'to', 'P', '#Balochistan', '^']",attack earthquake relief means terrorist org dnt want let anyone good balochistan,0,0,0,0,0,0,0,0
'383877756872032257',"Karachi: Magnitude 7.2 earthquake jolts different parts of Sindh, Balochistan,Awaran #Pakistan",non_damage,non_damage,"['Karachi', '^', ':', ',', 'Magnitude', 'N', '7.2', '$', 'earthquake', 'N', 'jolts', 'P', 'different', 'A', 'parts', 'N', 'of', 'P', 'Sindh', '^', ',', ',', 'Balochistan', '^', ',', ',', 'Awaran', '^', '#Pakistan', '#']",karachi magnitude earthquake jolts different parts sindh balochistan awaran,0,0,0,0,0,0,0,0
'383487691297284098',Field Mecical Camps and lady doctors are also Reaching #Earthquake Affected Areas in #Balochistan Fed Minster Gen Rt Abdul Qadir #PMLN,non_damage,non_damage,"['Field', '^', 'Mecical', '^', 'Camps', '^', 'and', '&', 'lady', 'N', 'doctors', 'N', 'are', 'V', 'also', 'R', 'Reaching', 'V', '#Earthquake', '^', 'Affected', 'V', 'Areas', 'N', 'in', 'P', '#Balochistan', '^', 'Fed', '^', 'Minster', '^', 'Gen', '^', 'Rt', 'V', 'Abdul', '^', 'Qadir', '^', '#PMLN', '#']",field mecical camps lady doctors also reaching earthquake affected areas balochistan fed minster gen abdul qadir,0,0,0,1,1,0,0,0
'383215415931195392',RT @Baloch_istan: Interior Minister Chaudhry Nisar to visit #earthquake hit areas of #Balochistan tomorrow. (RT @khalidkhan787),non_damage,non_damage,"['RT', '~', '@Baloch_istan', '@', ':', '~', 'Interior', '^', 'Minister', '^', 'Chaudhry', '^', 'Nisar', '^', 'to', 'P', 'visit', 'V', '#earthquake', '^', 'hit', 'V', 'areas', 'N', 'of', 'P', '#Balochistan', '^', 'tomorrow', 'N', '.', ',', '(', ',', 'RT', '~', '@khalidkhan787', '@', ')', ',']",interior minister chaudhry nisar visit earthquake hit areas balochistan tomorrow,0,0,0,0,1,0,0,0
'384745974133817344',#Earthquake Births New Island off #Pakistan : Natural Hazards http://t.co/80iGIHNXPQ #NASA,non_damage,non_damage,"['#Earthquake', '^', 'Births', 'N', 'New', 'A', 'Island', 'N', 'off', 'P', '#Pakistan', '^', ':', ',', 'Natural', 'A', 'Hazards', 'N', 'http://t.co/80iGIHNXPQ', 'U', '#NASA', '#']",earthquake births new island pakistan natural hazards,0,0,0,0,0,0,0,0
'384241412361170944',Very #Sad #News : 2 consecutive #Blasts in Qisa Khawani Bazar in #Peshawar #Pakistan currently reported dead 33... http://t.co/i3C8Qwmg4O,human_damage,damage,"['Very', 'R', '#Sad', 'A', '#News', 'N', ':', ',', '2', '$', 'consecutive', 'A', '#Blasts', 'N', 'in', 'P', 'Qisa', '^', 'Khawani', '^', 'Bazar', '^', 'in', 'P', '#Peshawar', '^', '#Pakistan', '#', 'currently', 'R', 'reported', 'V', 'dead', 'A', '33', '$', '...', ',', 'http://t.co/i3C8Qwmg4O', 'U']",sad news consecutive blasts qisa khawani bazar peshawar currently reported dead,1,1,0,1,0,0,0,0
'382842369953234944',Death toll in Pakistan #earthquake rises to 210 - http://t.co/MWhdfGlbte via @NewsCanada-Plus RT,human_damage,damage,"['Death', 'N', 'toll', 'N', 'in', 'P', 'Pakistan', '^', '#earthquake', '^', 'rises', 'V', 'to', 'P', '210', '$', '-', ',', 'http://t.co/MWhdfGlbte', 'U', 'via', 'P', '@NewsCanada', '@', '-Plus', '^', 'RT', 'V']",death toll pakistan earthquake rises via plus,1,1,0,0,0,0,0,0
'384064514057986048',"【#USGS #alert】 M 1.8, Nevada: September 28, 2013 21:06:29 GMT http://t.co/2ps35c43VX #earthquake #tsunami #prayfromjapan",non_damage,non_damage,"['【', 'G', '#USGS', '#', '#alert', '#', '】', '#', 'M', '$', '1.8', '$', ',', ',', 'Nevada', '^', ':', ',', 'September', '^', '28', '$', ',', ',', '2013', '$', '21:06:29', '$', 'GMT', 'N', 'http://t.co/2ps35c43VX', 'U', '#earthquake', '#', '#tsunami', '#', '#prayfromjapan', '#']",nevada september gmt,0,0,0,0,0,0,0,0
'383178520358559744',RT @realsyedasarwat: May ALLAH give them strength who's family/relatives dead in #earthquake my prayers r with them! 😔,non_damage,non_damage,"['RT', '~', '@realsyedasarwat', '@', ':', '~', 'May', '^', 'ALLAH', '^', 'give', 'V', 'them', 'D', 'strength', 'N', ""who's"", 'L', 'family/relatives', 'N', 'dead', 'A', 'in', 'P', '#earthquake', '^', 'my', 'D', 'prayers', 'N', 'r', 'V', 'with', 'P', 'them', 'O', '!', ',', '😔', 'E']",may allah give strength who family relatives dead earthquake prayers,2,1,0,1,0,0,0,0
'382851000031121408',"#Earthquake risk model coming for Canada, no #flood model yet http://t.co/7NuQuVLQ60 via @CdnUnderwriter",non_damage,non_damage,"['#Earthquake', '^', 'risk', 'N', 'model', 'N', 'coming', 'V', 'for', 'P', 'Canada', '^', ',', ',', 'no', 'D', '#flood', 'N', 'model', 'N', 'yet', 'R', 'http://t.co/7NuQuVLQ60', 'U', 'via', 'P', '@CdnUnderwriter', '@']",earthquake risk model coming canada flood model yet via,0,0,0,0,0,0,0,0
'384515622828118016',"#earthquake: USGS Earthquake Alert: M 2.8 - 55km N of Hatillo, Puerto Rico http://t.co/fCLICp4y4o",non_damage,non_damage,"['#earthquake', '^', ':', ',', 'USGS', '^', 'Earthquake', '^', 'Alert', 'N', ':', ',', 'M', 'E', '2.8', '$', '-', ',', '55km', 'N', 'N', '&', 'of', 'P', 'Hatillo', '^', ',', ',', 'Puerto', '^', 'Rico', '^', 'http://t.co/fCLICp4y4o', 'U']",earthquake usgs earthquake alert hatillo puerto rico,0,0,0,0,0,0,0,0
