tweet_id,tweet_text,multi_label,binary_label,POS_tagging,cleanTweetTXT,tweet_length,Determiners_Count,Verbs_Count,Pronouns_Count,NominalVerbal_Count,URLs_Count,Noun_Count,Adverb_Count,Adjective_Count,Unknown_count,Interjection_count,PrePost_count
9.18E+17,RT @Gizmodo: Wildfires raging through Northern California are terrifying https://t.co/dI73RFzX2i https://t.co/k4KnvIimsU,non_damage,non_damage,"['RT', '~', '@Gizmodo', '@', ':', '~', 'Wildfires', 'N', 'raging', 'V', 'through', 'P', 'Northern', '^', 'California', '^', 'are', 'V', 'terrifying', 'A', 'https://t.co/dI73RFzX2i', 'U', 'https://t.co/k4KnvIimsU', 'U']",wildfires raging northern california terrifying,12,0,2,0,0,2,1,0,1,0,0,1
9.18E+17,PHOTOS: Deadly wildfires rage in California https://t.co/td9xT3vXOL https://t.co/OimwAncLew,infrastructure_damage,damage,"['PHOTOS', 'N', ':', ',', 'Deadly', 'A', 'wildfires', 'N', 'rage', 'N', 'in', 'P', 'California', '^', 'https://t.co/td9xT3vXOL', 'U', 'https://t.co/OimwAncLew', 'U']",photos deadly wildfires rage california,8,0,0,0,0,2,3,0,1,0,0,1
9.18E+17,"RT @Cal_OES: PLS SHARE: Weâ€™re capturing wildfire response, recovery info here: https://t.co/r89LKpjLPj https://t.co/HiA1oQF2Ax",non_damage,non_damage,"['RT', '~', '@Cal_OES', '@', ':', '~', 'PLS', 'V', 'SHARE', 'V', ':', ',', 'Weâ€™re', '^', 'capturing', 'V', 'wildfire', 'N', 'response', 'N', ',', ',', 'recovery', 'N', 'info', 'N', 'here', 'R', ':', ',', 'https://t.co/r89LKpjLPj', 'U', 'https://t.co/HiA1oQF2Ax', 'U']",pls share capturing wildfire response recovery info,14,0,3,0,0,2,4,1,0,0,0,0
9.18E+17,"RT @Cal_OES: PLS SHARE: Weâ€™re capturing wildfire response, recovery info here: https://t.co/r89LKpjLPj https://t.co/HiA1oQF2Ax",non_damage,non_damage,"['RT', '~', '@Cal_OES', '@', ':', '~', 'PLS', 'V', 'SHARE', 'V', ':', ',', 'Weâ€™re', '^', 'capturing', 'V', 'wildfire', 'N', 'response', 'N', ',', ',', 'recovery', 'N', 'info', 'N', 'here', 'R', ':', ',', 'https://t.co/r89LKpjLPj', 'U', 'https://t.co/HiA1oQF2Ax', 'U']",pls share capturing wildfire response recovery info,14,0,3,0,0,2,4,1,0,0,0,0
9.18E+17,RT @TIME: California's raging wildfires as you've never seen them before https://t.co/OksQOZ2LHH https://t.co/oHTMbrM2Jx,non_damage,non_damage,"['RT', '~', '@TIME', '@', ':', '~', ""California's"", 'Z', 'raging', 'V', 'wildfires', 'N', 'as', 'P', ""you've"", 'L', 'never', 'R', 'seen', 'V', 'them', 'O', 'before', 'P', 'https://t.co/OksQOZ2LHH', 'U', 'https://t.co/oHTMbrM2Jx', 'U']",california raging wildfires never seen,14,0,2,1,1,2,1,1,0,0,0,2
9.18E+17,Wildfires Threaten Californiaâ€™s First Legal Cannabis Harvest https://t.co/BSuAdfwN62 https://t.co/wNqfLrNmTp,non_damage,non_damage,"['Wildfires', 'N', 'Threaten', 'V', 'Californiaâ€™s', '^', 'First', 'A', 'Legal', 'A', 'Cannabis', 'N', 'Harvest', 'N', 'https://t.co/BSuAdfwN62', 'U', 'https://t.co/wNqfLrNmTp', 'U']",wildfires threaten californias first legal cannabis harvest,9,0,1,0,0,2,3,0,2,0,0,0
9.18E+17,Mass Evacuations in California as Wildfires Kill at Least 10 https://t.co/gyoKFWZuMB #CaliforniaWildfires https://t.co/KEFtjITetK,human_damage,damage,"['Mass', '^', 'Evacuations', 'N', 'in', 'P', 'California', '^', 'as', 'P', 'Wildfires', 'N', 'Kill', 'V', 'at', 'P', 'Least', 'A', '10', '$', 'https://t.co/gyoKFWZuMB', 'U', '#CaliforniaWildfires', '#', 'https://t.co/KEFtjITetK', 'U']",mass evacuations california wildfires kill least,13,0,1,0,0,2,2,0,1,0,0,3
9.18E+17,RT @KAKEnews: California wildfires destroy more than 50 structures: https://t.co/IkSrNpmT83 #KAKEnews https://t.co/8risKwbBqr,infrastructure_damage,damage,"['RT', '~', '@KAKEnews', '@', ':', '~', 'California', '^', 'wildfires', 'N', 'destroy', 'V', 'more', 'A', 'than', 'P', '50', '$', 'structures', 'N', ':', ',', 'https://t.co/IkSrNpmT83', 'U', '#KAKEnews', '#', 'https://t.co/8risKwbBqr', 'U']",california wildfires destroy structures,13,0,1,0,0,2,2,0,1,0,0,1
9.18E+17,RT @KAKEnews: California wildfires destroy more than 50 structures: https://t.co/IkSrNpmT83 #KAKEnews https://t.co/8risKwbBqr,infrastructure_damage,damage,"['RT', '~', '@KAKEnews', '@', ':', '~', 'California', '^', 'wildfires', 'N', 'destroy', 'V', 'more', 'A', 'than', 'P', '50', '$', 'structures', 'N', ':', ',', 'https://t.co/IkSrNpmT83', 'U', '#KAKEnews', '#', 'https://t.co/8risKwbBqr', 'U']",california wildfires destroy structures,13,0,1,0,0,2,2,0,1,0,0,1
9.18E+17,RT @KAKEnews: California wildfires destroy more than 50 structures: https://t.co/IkSrNpmT83 #KAKEnews https://t.co/8risKwbBqr,infrastructure_damage,damage,"['RT', '~', '@KAKEnews', '@', ':', '~', 'California', '^', 'wildfires', 'N', 'destroy', 'V', 'more', 'A', 'than', 'P', '50', '$', 'structures', 'N', ':', ',', 'https://t.co/IkSrNpmT83', 'U', '#KAKEnews', '#', 'https://t.co/8risKwbBqr', 'U']",california wildfires destroy structures,13,0,1,0,0,2,2,0,1,0,0,1
